epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,118.831,1.28635,1.02674,0.95038,0.93099,0.97556,0.9881,0.69133,1.15926,0.87665,0.91523,0.000359409,0.000359409,0.000359409
43,121.101,1.16354,0.92535,0.94269,0.93645,0.97348,0.99265,0.69973,1.15643,0.84116,0.91236,0.000341077,0.000341077,0.000341077
44,122.686,1.2337,0.95285,0.9376,0.93645,0.97348,0.99265,0.69973,1.15643,0.84116,0.91236,0.000322745,0.000322745,0.000322745
45,124.602,1.23505,0.94811,0.9673,0.9225,0.98025,0.98986,0.69637,1.18187,0.82431,0.91188,0.000304414,0.000304414,0.000304414
46,126.334,1.22049,0.95351,0.92772,0.9225,0.98025,0.98986,0.69637,1.18187,0.82431,0.91188,0.000286083,0.000286083,0.000286083
47,128.211,1.21154,0.92122,0.93356,0.93236,0.97463,0.99102,0.68915,1.18311,0.80087,0.91039,0.000267751,0.000267751,0.000267751
48,130.198,1.1867,0.95927,0.94964,0.93236,0.97463,0.99102,0.68915,1.18311,0.80087,0.91039,0.00024942,0.00024942,0.00024942
49,133.582,1.16627,0.92026,0.91086,0.94197,0.97571,0.99397,0.69611,1.16654,0.79251,0.90621,0.000231088,0.000231088,0.000231088
50,135.887,1.21585,0.93037,0.93499,0.94197,0.97571,0.99397,0.69611,1.16654,0.79251,0.90621,0.000212757,0.000212757,0.000212757
51,143.046,1.1976,1.0151,0.98044,0.94954,0.95305,0.9922,0.69835,1.15767,0.79947,0.90409,0.000194425,0.000194425,0.000194425
52,147.257,1.2325,1.09301,0.95985,0.94954,0.95305,0.9922,0.69835,1.15767,0.79947,0.90409,0.000176094,0.000176094,0.000176094
53,151.035,1.25705,1.05981,0.9829,0.95724,0.94886,0.99309,0.70951,1.15019,0.79489,0.90398,0.000157762,0.000157762,0.000157762
54,153.685,1.21537,1.05292,0.92854,0.95724,0.94886,0.99309,0.70951,1.15019,0.79489,0.90398,0.000139431,0.000139431,0.000139431
55,156.312,1.18788,0.99219,0.94605,0.94833,0.94886,0.99089,0.70811,1.15188,0.79662,0.90274,0.000121099,0.000121099,0.000121099
56,158.036,1.18327,0.98588,0.94648,0.94833,0.94886,0.99089,0.70811,1.15188,0.79662,0.90274,0.000102768,0.000102768,0.000102768
57,159.919,1.19821,0.96106,0.95887,0.93313,0.96677,0.99096,0.70714,1.15244,0.79566,0.90421,8.4436e-05,8.4436e-05,8.4436e-05
58,162.813,1.20217,0.98312,0.93485,0.93313,0.96677,0.99096,0.70714,1.15244,0.79566,0.90421,6.61045e-05,6.61045e-05,6.61045e-05
59,165.604,1.21078,0.96721,0.94149,0.93266,0.96886,0.99096,0.70783,1.15248,0.79867,0.90556,4.7773e-05,4.7773e-05,4.7773e-05
60,167.464,1.17479,0.96427,0.94292,0.93266,0.96886,0.99096,0.70783,1.15248,0.79867,0.90556,2.94415e-05,2.94415e-05,2.94415e-05
