epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.7805,2.63475,8.00186,0.70143,4.03616,2.49465,0.16872,0.07692,0.14794,0.05446,0,0,0,0,2.3888,8.9144,0.72243,2.60242,2.64771,0.00016,0.00016,0.00016
2,26.8868,1.55166,7.42013,0.68791,1.84857,1.64274,0.88057,0.61538,0.67188,0.40909,0,0,0,0,1.60479,8.69787,0.71363,2.07819,1.96792,0.000336634,0.000336634,0.000336634
3,32.0661,1.08697,5.84979,0.66897,0.96625,1.29091,0.86215,0.9622,0.98324,0.58001,0,0,0,0,1.26578,7.87802,0.6807,0.94104,1.84291,0.000509704,0.000509704,0.000509704
4,35.974,0.97275,4.65664,0.71061,0.80507,1.2857,0.95369,0.96154,0.98305,0.65404,0,0,0,0,1.06642,6.99916,0.64353,0.75451,1.66753,0.00067921,0.00067921,0.00067921
5,38.4823,0.75927,3.9612,0.68524,0.60742,1.07469,0.95922,1,0.98389,0.70747,0.07241,0.03846,0.00487,0.00049,0.93159,6.10061,0.55065,0.67472,1.3547,0.000845152,0.000845152,0.000845152
6,41.0568,0.75867,3.36249,0.69413,0.5826,1.08286,0.98967,0.96154,0.96532,0.6116,0.26915,0.23077,0.10733,0.02032,1.2907,6.01227,0.64299,0.87869,1.51732,0.00100753,0.00100753,0.00100753
7,43.8302,0.63856,2.90992,0.69364,0.53914,1.01807,0.56792,0.96154,0.79837,0.48271,0.53139,0.57692,0.43659,0.11841,1.29271,4.84751,0.78588,1.34335,1.6823,0.00116634,0.00116634,0.00116634
8,46.4379,0.73409,3.0765,0.6344,0.55032,1.03377,0.89186,0.63493,0.736,0.48156,0.77031,0.19231,0.17909,0.02568,1.41503,6.62021,0.87705,1.26311,1.94151,0.00132159,0.00132159,0.00132159
9,48.7834,0.64009,2.70096,0.62972,0.51683,1.04231,0.88197,0.65385,0.84256,0.59085,0.7519,0.30769,0.29697,0.08395,1.27924,6.01584,0.95901,1.00866,1.75736,0.00147328,0.00147328,0.00147328
10,51.1161,0.72833,2.56982,0.66036,0.58055,1.10682,0.69001,0.96154,0.85681,0.46052,0.82778,0.37051,0.39082,0.21224,1.86988,4.81829,0.96973,1.16632,2.22192,0.0016214,0.0016214,0.0016214
11,53.2116,0.7351,2.1122,0.65551,0.60783,1.06946,0.66767,0.92736,0.85747,0.49188,0.55074,0.38462,0.36402,0.11289,1.8158,4.80006,0.92564,1.1752,2.32183,0.00176596,0.00176596,0.00176596
12,55.3791,0.80883,2.16316,0.63884,0.59415,1.07229,0.86541,1,0.98029,0.6238,0.73682,0.86176,0.81221,0.35412,1.13217,3.09011,0.94652,0.94726,1.55311,0.0017822,0.0017822,0.0017822
13,57.5356,0.68341,1.83538,0.63316,0.56119,1.05327,0.78481,0.98219,0.95085,0.59812,0.75407,0.94372,0.91788,0.40067,1.29767,3.13,0.92865,0.95934,1.92536,0.0017624,0.0017624,0.0017624
14,59.5549,0.72521,1.59422,0.6525,0.53129,1.06036,1,0.95449,0.9919,0.67433,1,0.95449,0.9919,0.60088,1.10329,2.3199,0.84966,0.74656,1.64959,0.0017426,0.0017426,0.0017426
15,61.725,0.71337,1.73536,0.62778,0.61113,1.07855,0.89382,0.97159,0.97813,0.60437,0.89382,0.97159,0.97813,0.51179,1.26285,2.30987,0.78782,0.98162,2.0196,0.0017228,0.0017228,0.0017228
16,63.8043,0.74744,1.62078,0.6213,0.59265,1.09981,0.95057,1,0.97796,0.67135,0.95057,1,0.97796,0.50695,1.17037,2.07108,0.69479,0.95519,1.78814,0.001703,0.001703,0.001703
17,65.8444,0.66169,1.24894,0.58739,0.49771,1.02936,0.99719,1,0.995,0.77094,0.99719,1,0.995,0.5643,0.96141,1.69502,0.68753,0.67583,1.51256,0.0016832,0.0016832,0.0016832
18,67.937,0.64393,1.18011,0.61962,0.50678,1.02993,0.99792,1,0.995,0.76768,0.99792,1,0.995,0.5047,0.98549,1.59401,0.65691,0.7105,1.51596,0.0016634,0.0016634,0.0016634
19,70.0711,0.59798,1.01537,0.59144,0.4836,1.00339,0.9594,1,0.99389,0.73505,0.9594,1,0.99389,0.70644,0.91167,1.0638,0.57794,0.83392,1.48227,0.0016436,0.0016436,0.0016436
20,72.0792,0.64591,1.36436,0.59237,0.50814,1.03524,0.96231,1,0.995,0.75988,0.96231,1,0.995,0.7298,0.83463,1.21018,0.55526,0.63866,1.32619,0.0016238,0.0016238,0.0016238
21,74.3239,0.59363,1.33149,0.57745,0.46783,0.97841,1,0.99784,0.995,0.8055,1,0.99784,0.995,0.75971,0.71094,0.93604,0.57247,0.54473,1.20859,0.001604,0.001604,0.001604
22,76.338,0.67856,1.00051,0.5452,0.49587,1.07306,0.97905,1,0.995,0.83974,0.94054,0.96154,0.93098,0.54928,0.69752,1.13525,0.59697,0.61901,1.22291,0.0015842,0.0015842,0.0015842
23,78.3368,0.55943,1.12907,0.56162,0.45296,0.97344,0.85709,1,0.96537,0.77257,0.85709,1,0.96537,0.61411,0.74799,1.20069,0.594,0.76975,1.28296,0.0015644,0.0015644,0.0015644
24,80.2667,0.6102,1.13124,0.57346,0.49327,1.00134,0.88594,1,0.99286,0.82618,0.88594,1,0.99286,0.78817,0.73779,0.97486,0.57043,0.78509,1.27435,0.0015446,0.0015446,0.0015446
25,82.5128,0.56249,0.97516,0.5699,0.44227,0.93278,0.99631,1,0.995,0.82274,0.99631,1,0.995,0.75198,0.71342,0.74544,0.55216,0.56124,1.22141,0.0015248,0.0015248,0.0015248
26,84.6284,0.59741,0.97635,0.56481,0.47804,0.97305,0.99354,1,0.995,0.81536,0.99354,1,0.995,0.72528,0.75842,0.82339,0.5474,0.64434,1.30027,0.001505,0.001505,0.001505
27,86.9239,0.50265,0.8258,0.57167,0.41714,0.95034,0.98538,1,0.995,0.84512,0.98538,1,0.995,0.80361,0.69316,0.69558,0.54963,0.61245,1.2176,0.0014852,0.0014852,0.0014852
28,89.0829,0.5537,0.90893,0.58344,0.43626,0.95438,0.98651,1,0.995,0.80302,0.98651,1,0.995,0.86146,0.75144,0.8088,0.56401,0.73325,1.28943,0.0014654,0.0014654,0.0014654
29,91.3831,0.56667,0.71202,0.57585,0.44479,0.99318,0.98024,1,0.995,0.79604,0.98024,1,0.995,0.76379,0.80593,1.09151,0.59099,0.85852,1.31614,0.0014456,0.0014456,0.0014456
30,93.4832,0.48746,0.77065,0.55428,0.39021,0.92041,0.94308,1,0.99093,0.7764,0.94308,1,0.99093,0.78421,0.77533,0.85597,0.62099,0.86668,1.30057,0.0014258,0.0014258,0.0014258
31,95.4104,0.49077,0.75126,0.56631,0.40918,0.95999,1,0.99995,0.995,0.8128,1,0.99995,0.995,0.71148,0.69915,0.89187,0.64961,0.63316,1.2494,0.001406,0.001406,0.001406
32,97.4251,0.49276,0.78293,0.55416,0.41944,0.94442,0.98657,1,0.995,0.84182,0.96232,0.98274,0.95815,0.62369,0.66163,0.949,0.61796,0.5335,1.2295,0.0013862,0.0013862,0.0013862
33,99.3454,0.52355,0.7698,0.53288,0.39993,0.95119,0.99285,1,0.995,0.82259,0.99285,1,0.995,0.7494,0.70434,0.70231,0.55613,0.50684,1.26285,0.0013664,0.0013664,0.0013664
34,101.463,0.50892,0.79824,0.53881,0.39809,0.95541,0.99578,1,0.995,0.82349,0.99578,1,0.995,0.83701,0.70841,0.5836,0.52527,0.45962,1.26321,0.0013466,0.0013466,0.0013466
